"YEdit","Toggle Comment","Ctrl+/","YEdit editor context"
"Task Repositories","Mark Task Read and Go To Next Unread Task","Shift+Alt+Down","In Tasks View"
"C/C++ Source","Declaration","Ctrl+G","C/C++ Editor"
"Terminal view commands","Terminal view insert","Alt+P","Terminal Typing Connected"
"Source","Toggle Comment","Esc Ctrl+C","Editing JavaScript Source"
"Source","Surround With Quick Menu","Shift+Alt+Z","JavaScript View"
"Terminal view commands","Copy","Ctrl+Insert","Terminal Control in Focus"
"Edit","Restore Last Selection","Shift+Alt+Down","Editing in Structured Text Editors"
"Navigate","Show In Breadcrumb","Shift+Alt+B","Editor Breadcrumb Navigation"
"Navigate","Go to Next Member","Shift+Ctrl+Down","Editing Java Source"
"Edit","Restore Last Selection","Shift+Alt+Down","Editing Java Source"
"Terminal view commands","Terminal view insert","Alt+Y","Terminal Typing Connected"
"Run/Debug","Run on Server","Shift+Alt+X R","In Windows"
"Run/Debug","Coverage Last Launched","Shift+Ctrl+F11","In Windows"
"Makefile Source","Open declaration","F3","Makefile Editor"
"Run/Debug","Java Breakpoint Properties","Alt+Enter","In Breakpoints View"
"Task Repositories","Show Tooltip Description","F4","In Tasks View"
"Navigate","Open Call Hierarchy","Ctrl+Alt+H","C/C++ Editor"
"File","New menu","Shift+Alt+N","In Windows"
"C/C++ Source","References","Shift+Ctrl+G","C/C++ Editor"
"Views","Show View (History)","Shift+Alt+Q Z","In Windows"
"Navigate","Open Attached Javadoc","Shift+F2","In Windows"
"YEdit","Format","Shift+Ctrl+F","YEdit editor context"
"Refactor - JavaScript","Show Refactor Quick Menu","Shift+Alt+T","JavaScript View"
"Source","Indent Line","Ctrl+I","Editing JavaScript Source"
"Source","Organize Imports","Shift+Ctrl+O","In Windows"
"Server","Debug","Ctrl+Alt+D","In Servers View"
"Navigate","Next Sub-Tab","Alt+PageDown","In Dialogs and Windows"
"Edit","Add Im&port","Shift+Ctrl+M","Editing JSP Source"
"Search","Show Occurrences in File Quick Menu","Shift+Ctrl+U","JavaScript View"
"Views","Show View (Console)","Shift+Alt+Q C","In Windows"
"Edit","Add Maven Plugin","Shift+Ctrl+P","Editing XML Source"
"Terminal view commands","Terminal view insert","Alt+T","Terminal Typing Connected"
"Source","Quick Assist - Assign to var","Ctrl+2 F","Editing JavaScript Source"
"Run/Debug","Debug Eclipse Application","Shift+Alt+D E","In Windows"
"C/C++ Source","Open Declaration","F3","C/C++ Editor"
"Navigate","Matching Character","Shift+Ctrl+P","Editing in Structured Text Editors"
"Source","Quick Assist - Rename in file","Ctrl+2 R","Editing JavaScript Source"
"Views","Show View (Task List)","Shift+Alt+Q K","In Windows"
"Navigate","Previous","Ctrl+,","In Windows"
"Task Repositories","New Subtask","Shift+Insert","In Tasks View"
"Navigate","Go To Previous Unread Task","Alt+Up","In Tasks View"
"C/C++ Source","Explore Macro Expansion","Ctrl+=","C/C++ Editor"
"Views","Show View (Cheat Sheets)","Shift+Alt+Q H","In Windows"
"C/C++ Source","Open Element","Shift+Ctrl+T","C/C++ Editor"
"Run/Debug","Coverage SWTBot Test","Shift+Alt+E S","In Windows"
"Refactor - Java","Extract Method","Shift+Alt+M","In Windows"
"Edit","Select Next Element","Shift+Alt+Right","Editing in Structured Text Editors"
"Search","Find Text in Workspace","Ctrl+Alt+G","In Windows"
"Edit","Select Previous Element","Shift+Alt+Left","Editing in Structured Text Editors"
"C/C++ Source","Toggle Comment","Ctrl+7","C/C++ Editor"
"Navigate","Open Declaration","F3","In Windows"
"C/C++ Source","Toggle Mark Occurrences","Shift+Alt+O","C/C++ Editor"
"Edit","Find and Replace","Ctrl+F","In Windows"
"Edit","Paste","Ctrl+V","In Dialogs and Windows"
"Navigate","Quick Outline","Ctrl+O","Editing in Structured Text Editors"
"Edit","Redo","Shift+Ctrl+Z","In Dialogs and Windows"
"Run/Debug","Force Return","Shift+Alt+F","In Windows"
"Source","Add Import","Shift+Ctrl+M","Editing JavaScript Source"
"Focused UI","Make Landmark","Shift+Ctrl+Alt+Up","In Windows"
"Navigate","Forward History","Alt+Right","In Windows"
"Run/Debug","Run Maven Build","Shift+Alt+X M","In Windows"
"Run/Debug","Step Return","F7","Debugging"
"Navigate","Show In...","Shift+Alt+W","In Windows"
"Run/Debug","Coverage TestNG Suite","Shift+Alt+E G","In Windows"
"Source","Toggle Comment","Ctrl+7","Editing JavaScript Source"
"Run/Debug","Run Java Application","Shift+Alt+X J","In Windows"
"Run/Debug","Run Java Applet","Shift+Alt+X A","In Windows"
"Navigate","Expand All","Shift+Ctrl+Numpad_Multiply","In Windows"
"Task Repositories","Mark Task Incomplete","Shift+Alt+I","In Tasks Editor"
"Run/Debug","Toggle Memory Monitors Pane","Ctrl+T","In Memory View"
